Race Category,Distance,Elevation Gain,Mean Finish Time,Winning Time,N Participants,Year,Country,distance_std,elevation_std
20K,21.4,930,2.8469,1.7936,168,2023,FR,-0.9596650588537203,-0.8515919735547955
100K,75.0,5600,16.998,8.8667,117,2014,NO,0.363151745948224,1.652413590110864
100K,74.8,4980,15.4171,9.9611,99,2015,NO,0.35821586234821673,1.3199760206306266
100K,72.8,5320,16.2184,8.9397,140,2016,NO,0.30885702634814416,1.5022804942165633
100K,72.8,5320,16.4602,10.1239,179,2017,NO,0.30885702634814416,1.5022804942165633
100K,72.5,5320,15.631,9.8711,125,2018,NO,0.3014532009481334,1.5022804942165633
100K,72.5,5320,16.6646,9.2444,107,2019,NO,0.3014532009481334,1.5022804942165633
50K,37.9,3120,7.376,4.76,77,2018,FR,-0.5524546618531218,0.32266331218991423
50K,37.9,3110,7.8105,4.8344,103,2019,FR,-0.5524546618531218,0.3173014159079749
50K,60.7,3630,11.5087,6.8656,86,2014,IT,0.010236068547705389,0.5961200225688192
50K,61.8,3800,11.5393,7.1908,95,2015,IT,0.03738342834774515,0.6872722593617875
50K,61.8,3570,11.0129,6.5594,117,2016,IT,0.03738342834774515,0.5639486448771833
50K,61.1,3800,11.4044,7.0953,113,2017,IT,0.020107835747719863,0.6872722593617875
50K,61.5,3570,10.0153,7.0897,60,2018,IT,0.02997960294773434,0.5639486448771833
50K,61.5,3570,11.2471,7.3183,96,2019,IT,0.02997960294773434,0.5639486448771833
100K,60.0,4000,10.9085,6.8139,104,2023,IT,-0.007039524052320073,0.7945101850005738
100K,70.4,4710,13.0112,9.3294,37,2018,ES,0.24962642314805733,1.175204821018265
50K,46.3,3480,8.47,5.8819,51,2019,ES,-0.3451475506528171,0.5156915783397295
100K,79.1,3370,10.3925,6.1861,301,2014,US,0.46433735974837265,0.45671071923839707
100K,75.9,3500,10.3239,6.1608,278,2015,US,0.38536322214825686,0.5264153709036081
100K,75.9,3500,10.6025,6.0144,303,2016,US,0.38536322214825686,0.5264153709036081
100K,75.9,3500,11.0737,6.2986,351,2017,US,0.38536322214825686,0.5264153709036081
100K,75.9,3500,10.9623,5.8544,292,2018,US,0.38536322214825686,0.5264153709036081
100K,77.0,3080,10.9444,6.1419,345,2019,US,0.4125105819482966,0.30121572706215693
100K,80.9,3050,11.6084,7.1703,156,2021,US,0.5087603121484382,0.28513003821633903
100K,80.9,3200,11.3688,7.1206,309,2022,US,0.5087603121484382,0.3655584824454287
100K,80.9,3200,11.5927,6.7389,214,2023,US,0.5087603121484382,0.3655584824454287
50K,47.1,1990,6.8798,4.7261,59,2018,FR,-0.325404016252788,-0.28323096766922823
50K,46.5,2380,7.0622,4.6753,119,2019,FR,-0.34021166705280975,-0.07411701267359501
50K,46.2,1980,6.2933,4.1917,80,2021,FR,-0.3476154924528206,-0.28859286395116757
50K,49.0,1840,6.4176,4.0739,115,2022,FR,-0.2785131220527191,-0.36365941189831796
50K,49.0,1840,6.7095,4.4922,97,2023,FR,-0.2785131220527191,-0.36365941189831796
20K,22.9,1090,3.4858,1.9275,391,2018,IT,-0.922645931853666,-0.7658016330437665
20K,17.4,860,2.6407,1.5331,455,2019,IT,-1.0583827308538654,-0.8891252475283706
20K,25.0,859,3.7589,1.9967,273,2018,AU,-0.8708191540535897,-0.8896614371565646
20K,25.0,859,3.6399,1.8956,385,2019,AU,-0.8708191540535897,-0.8896614371565646
20K,29.6,2000,5.1317,3.7647,152,2018,CN,-0.7572938312534228,-0.27786907138728895
50K,50.0,2000,6.3049,4.1317,81,2014,US,-0.2538337040526828,-0.27786907138728895
50K,50.0,2000,6.0681,4.0317,58,2016,US,-0.2538337040526828,-0.27786907138728895
50K,46.7,1250,6.4749,4.0261,64,2018,US,-0.33527578345280246,-0.6800112925327374
50K,46.7,1250,6.2561,3.7594,57,2019,US,-0.33527578345280246,-0.6800112925327374
20K,15.7,490,2.3451,1.4172,100,2018,UY,-1.100337741453927,-1.0875154099601252
20K,15.7,770,2.25,1.3067,113,2018,IT,-1.100337741453927,-0.9373823140658245
100M,213.2,2350,28.8124,23.5506,6,2018,EE,3.7738473135532367,-0.09020270151941295
100M,209.9,2330,30.4843,29.3836,2,2019,EE,3.692405234153118,-0.10092649408329157
100M,188.9,2100,31.6083,31.2231,3,2019,EE,3.1741374561523563,-0.2242501085678958
100M,170.5,1880,25.7154,21.9056,3,2018,EE,2.720036164951688,-0.34221182677056067
100M,167.9,1870,28.9708,26.2336,2,2019,EE,2.655869678151594,-0.3475737230525
100K,149.2,1650,25.8113,24.9003,3,2018,EE,2.1943645615509153,-0.4655354412551649
100K,146.9,1590,31.0554,30.6219,2,2019,EE,2.137601900150832,-0.4977068189468008
100K,127.9,1420,19.9935,15.8392,2,2018,EE,1.668692958150143,-0.5888590557397692
100K,106.6,1180,17.4279,12.2731,12,2018,EE,1.1430213547493702,-0.7175445665063126
100K,104.9,1170,21.2992,12.5581,9,2019,EE,1.1010663441493087,-0.722906462788252
50K,48.9,2190,8.5065,5.2456,125,2019,CN,-0.28098106385272276,-0.17599304203044197
100K,104.0,4980,24.386,13.3414,41,2018,CN,1.078854867949276,1.3199760206306266
50K,60.7,2820,14.5203,8.2031,99,2018,CN,0.010236068547705389,0.1618064237317348
20K,24.9,1890,6.7901,3.9742,325,2018,CN,-0.8732870958535933,-0.3368499304886214
20K,21.5,1720,5.2043,3.2347,524,2019,CN,-0.9571971170537167,-0.4280021672815897
50K,46.2,3030,9.7947,6.3872,334,2018,CN,-0.3476154924528206,0.27440624565246036
50K,47.1,3710,11.7415,6.485,520,2019,CN,-0.325404016252788,0.6390151928243337
20K,26.2,960,5.1696,2.5272,94,2018,CN,-0.8412038524535461,-0.8355062847089776
50K,48.4,2170,8.2312,5.3169,39,2018,CN,-0.2933207728527409,-0.1867168345943206
50K,49.6,2630,6.9607,4.4414,173,2018,PT,-0.2637054712526973,0.059930394374887834
50K,45.5,2370,6.7798,4.0892,82,2019,PT,-0.36489108505284606,-0.07947890895553432
50K,50.1,2350,8.2047,5.9247,69,2020,PT,-0.25136576225267915,-0.09020270151941295
50K,50.9,2680,7.8613,6.1292,44,2023,PT,-0.23162222785265021,0.0867398757845844
50K,55.0,1800,7.0734,4.3711,435,2014,BE,-0.13043661405250145,-0.3851069970260752
50K,55.0,1800,7.3787,4.4981,538,2015,BE,-0.13043661405250145,-0.3851069970260752
50K,55.0,1890,7.4521,4.9458,417,2016,BE,-0.13043661405250145,-0.3368499304886214
50K,56.0,2060,7.0052,4.4283,368,2018,BE,-0.10575719605246517,-0.24569769369565306
50K,55.4,2060,6.6443,3.9714,363,2019,BE,-0.12056484685248697,-0.24569769369565306
50K,59.0,1939,7.1151,4.2625,278,2022,BE,-0.03171894205235635,-0.31057663870711877
50K,57.8,1842,7.0921,4.7464,159,2023,BE,-0.06133424365239995,-0.3625870326419301
50K,34.1,1950,6.5184,4.3503,23,2018,CN,-0.6462364502532596,-0.3046785527969855
20K,31.3,1530,5.3811,2.6942,157,2019,CN,-0.7153388206533612,-0.5298781966384367
20K,34.5,1330,4.9265,2.3092,148,2020,CN,-0.6363646830532451,-0.6371161222772229
20K,28.3,1370,6.5184,4.3503,23,2018,CN,-0.78937707465347,-0.6156685371494657
50K,50.0,1180,6.7053,3.3536,138,2014,US,-0.2538337040526828,-0.7175445665063126
50K,50.0,1180,6.3512,3.8833,112,2015,US,-0.2538337040526828,-0.7175445665063126
50K,50.0,1180,6.3789,3.92,85,2016,US,-0.2538337040526828,-0.7175445665063126
50K,50.0,1180,6.3478,3.7172,136,2017,US,-0.2538337040526828,-0.7175445665063126
50K,50.0,1180,6.2996,3.3422,165,2018,US,-0.2538337040526828,-0.7175445665063126
50K,50.0,1180,6.5324,3.4872,139,2019,US,-0.2538337040526828,-0.7175445665063126
50K,57.1,1400,7.1397,4.8225,386,2018,FR,-0.07860983625242524,-0.5995828483036477
20K,23.0,680,2.5303,1.6233,263,2018,SE,-0.9201779900536622,-0.9856393806032784
20K,23.0,680,2.5184,1.51,309,2019,SE,-0.9201779900536622,-0.9856393806032784
100M,159.5,6180,33.4575,22.8589,97,2018,US,2.4485625669512894,1.9634035744633442
100M,159.5,6180,33.1875,21.0128,117,2019,US,2.4485625669512894,1.9634035744633442
100M,159.5,6180,33.6044,24.1442,45,2022,US,2.4485625669512894,1.9634035744633442
100M,158.1,3770,28.6652,18.5936,140,2018,US,2.4140113817512385,0.6711865705159696
100M,158.1,3770,27.9169,20.2525,67,2020,US,2.4140113817512385,0.6711865705159696
50K,45.9,2400,6.6988,5.285,98,2018,JP,-0.3550193178528316,-0.06339322010971637
50K,46.6,2040,6.1523,3.7561,170,2019,JP,-0.3377437252528061,-0.25642148625953165
50K,45.4,1910,6.1151,3.9961,202,2021,JP,-0.3673590268528497,-0.32612613792474276
20K,23.5,910,5.138,2.2178,475,2018,CN,-0.9078382810536441,-0.8623157661186741
100M,102.7,11140,28.9548,22.345,42,2018,CN,1.046771624549229,4.622904130305244
20K,26.3,1120,5.8491,3.0508,492,2018,TH,-0.8387359106535426,-0.7497159441979485
20K,28.3,1120,6.0912,3.3425,547,2019,TH,-0.78937707465347,-0.7497159441979485
100M,166.0,5850,33.3426,26.7625,21,2018,ZA,2.608978783951525,1.7864609971593468
100M,163.3,5610,37.2037,28.5725,34,2019,ZA,2.5423443553514273,1.6577754863928034
100M,171.6,5160,35.8662,22.5106,52,2021,ZA,2.747183524751728,1.416490153705534
100M,171.0,5638,37.5712,22.0489,83,2022,ZA,2.7323758739517063,1.6727887959822334
100M,171.0,5638,37.8346,29.4831,30,2023,ZA,2.7323758739517063,1.6727887959822334
100K,98.7,1200,16.9525,9.5903,103,2014,US,0.9480539525490839,-0.706820773942434
100K,98.7,1200,16.606,9.4872,109,2015,US,0.9480539525490839,-0.706820773942434
100K,97.5,1080,17.0611,8.8069,126,2016,US,0.9184386509490402,-0.7711635293257058
100K,97.5,1080,16.7803,8.5447,211,2017,US,0.9184386509490402,-0.7711635293257058
100K,98.0,1090,16.9482,8.9181,199,2018,US,0.9307783599490583,-0.7658016330437665
100K,98.4,1100,16.8611,7.9786,224,2019,US,0.940650127149073,-0.7604397367618272
100K,98.3,1090,16.2751,8.0358,82,2020,US,0.9381821853490692,-0.7658016330437665
100K,98.3,1090,17.2149,8.8192,244,2021,US,0.9381821853490692,-0.7658016330437665
100K,98.3,1090,16.8507,7.5294,266,2022,US,0.9381821853490692,-0.7658016330437665
100K,98.3,1090,17.1524,7.2647,370,2023,US,0.9381821853490692,-0.7658016330437665
20K,23.2,1040,3.53,2.1086,107,2018,ES,-0.9152421064536549,-0.792611114453463
20K,22.8,1150,3.2708,2.2683,77,2019,ES,-0.9251138736536696,-0.7336302553521306
20K,23.4,1110,3.443,2.2825,76,2021,ES,-0.9103062228536477,-0.7550778404798878
20K,23.9,1080,3.116,1.9278,189,2018,ES,-0.8979665138536296,-0.7711635293257058
20K,23.8,1070,3.0657,2.1172,83,2019,ES,-0.9004344556536332,-0.7765254256076451
20K,24.0,1100,2.9694,2.0119,115,2022,ES,-0.8954985720536259,-0.7604397367618272
50K,46.1,1360,5.2942,3.735,72,2018,SE,-0.35008343425282423,-0.621030433431405
50K,46.1,1360,5.4645,3.6397,117,2019,SE,-0.35008343425282423,-0.621030433431405
50K,55.2,1565,7.4159,5.2342,54,2017,CH,-0.12550073045249413,-0.5111115596516491
50K,53.0,1610,6.999,4.5069,148,2018,CH,-0.179795450052574,-0.4869830263829222
50K,52.6,1600,7.2071,4.4983,158,2019,CH,-0.18966721725258848,-0.49234492266486146
50K,52.0,1610,7.0508,4.6147,95,2022,CH,-0.20447486805261028,-0.4869830263829222
20K,13.8,650,2.809,1.6278,165,2018,PT,-1.147228635653996,-1.0017250694490962
20K,13.6,750,2.8994,1.7706,97,2019,PT,-1.152164519254003,-0.9481061066297032
50K,49.8,2042,6.3941,4.5789,19,2017,US,-0.25876958765269015,-0.25534910700314384
50K,49.8,2042,6.5907,4.27,23,2019,US,-0.25876958765269015,-0.25534910700314384
50K,49.8,2042,6.4314,4.9728,34,2020,US,-0.25876958765269015,-0.25534910700314384
50K,49.2,1110,6.4795,3.9497,176,2018,FR,-0.27357723845271176,-0.7550778404798878
100K,129.8,3200,21.2777,15.0069,81,2018,FR,1.7155838523502123,0.3655584824454287
20K,29.4,1560,7.5747,4.6542,248,2018,CN,-0.76222971485343,-0.5137925077926188
20K,29.9,1620,7.0316,4.4956,208,2019,CN,-0.7498900058534119,-0.48162113010098284
20K,34.7,1520,6.5461,3.9894,170,2020,CN,-0.6314287994532377,-0.535240092920376
20K,30.2,1590,6.7683,3.6189,82,2018,CN,-0.7424861804534011,-0.4977068189468008
50K,46.7,1905,6.4353,3.8819,442,2014,PL,-0.33527578345280246,-0.3288070860657124
50K,46.7,1905,6.3927,3.8225,419,2015,PL,-0.33527578345280246,-0.3288070860657124
100K,64.2,4450,17.9277,9.6317,58,2018,CN,0.09661403154783235,1.0357955176878428
50K,67.7,3000,9.2634,6.7997,19,2018,MX,0.1829919945479593,0.25832055680664245
20K,10.9,1310,2.7734,1.3725,219,2018,EC,-1.2187989478541013,-0.6478399148411016
20K,10.7,1260,2.3346,1.1797,433,2019,EC,-1.2237348314541083,-0.6746493962507981
20K,9.6,1130,2.3416,1.3181,308,2021,EC,-1.2508821912541483,-0.7443540479160092
20K,11.0,1340,2.4658,1.2475,807,2022,EC,-1.2163310060540975,-0.6317542259952836
50K,56.9,3420,13.3368,9.2089,79,2018,CN,-0.08354571985243256,0.4835202006480936
50K,78.0,2130,10.1595,7.3736,51,2014,BE,0.43718999994833285,-0.20816441972207786
100K,78.2,2220,10.2827,7.4286,54,2015,BE,0.4421258835483402,-0.15990735318462404
50K,78.4,2110,10.35,7.3611,42,2016,BE,0.4470617671483475,-0.21888821228595648
50K,80.8,1810,10.9133,7.6494,52,2017,BE,0.5062923703484343,-0.37974510074413587
20K,27.1,1970,5.1875,3.1272,400,2018,CH,-0.8189923762535135,-0.29395476023310685
20K,27.1,1990,5.12,2.8533,427,2019,CH,-0.8189923762535135,-0.28323096766922823
20K,23.9,1340,3.7248,2.2453,347,2020,CH,-0.8979665138536296,-0.6317542259952836
20K,27.1,1990,5.3466,3.5678,132,2022,CH,-0.8189923762535135,-0.28323096766922823
50K,50.0,1250,6.4108,3.8253,69,2016,US,-0.2538337040526828,-0.6800112925327374
50K,50.0,1250,6.9595,3.8469,36,2017,US,-0.2538337040526828,-0.6800112925327374
50K,50.0,1250,7.5452,5.1611,36,2018,US,-0.2538337040526828,-0.6800112925327374
50K,50.0,1250,6.4426,4.3981,68,2019,US,-0.2538337040526828,-0.6800112925327374
100K,100.0,1980,13.3324,9.3083,28,2018,CR,0.980137195949131,-0.28859286395116757
100K,100.3,2060,13.8411,11.6844,11,2019,CR,0.9875410213491417,-0.24569769369565306
50K,50.0,1010,6.8155,4.3969,154,2018,CR,-0.2538337040526828,-0.808696803299281
50K,50.2,1050,7.0485,4.0808,171,2019,CR,-0.2488978204526755,-0.7872492181715237
20K,21.2,400,2.5203,1.4983,302,2018,CR,-0.9646009424537274,-1.1357724764975792
20K,21.2,420,2.5945,1.5978,235,2019,CR,-0.9646009424537274,-1.1250486839337004
50K,50.0,1000,5.9769,3.8447,26,2018,US,-0.2538337040526828,-0.8140586995812203
50K,50.0,1910,6.2247,4.4622,39,2019,US,-0.2538337040526828,-0.32612613792474276
50K,50.0,1910,6.5427,4.6411,52,2020,US,-0.2538337040526828,-0.32612613792474276
20K,36.0,900,4.6237,2.8181,45,2018,US,-0.5993455560531906,-0.8676776624006134
20K,36.0,1356,5.4114,3.0875,44,2019,US,-0.5993455560531906,-0.6231751919441807
20K,36.0,1356,4.859,3.0994,25,2020,US,-0.5993455560531906,-0.6231751919441807
20K,21.0,500,2.5992,1.5872,58,2018,US,-0.9695368260537348,-1.082153513678186
20K,21.0,650,2.6995,1.6497,75,2019,US,-0.9695368260537348,-1.0017250694490962
20K,21.0,750,2.6813,1.4717,80,2020,US,-0.9695368260537348,-0.9481061066297032
20K,32.4,370,4.9023,2.9569,12,2018,EE,-0.6881914608533213,-1.151858165343397
50K,50.0,1250,5.8505,3.3711,82,2017,US,-0.2538337040526828,-0.6800112925327374
100K,120.9,2410,18.3112,13.1739,15,2018,CN,1.4959370321498893,-0.058031323827777065
20K,18.7,1350,3.6617,2.2694,29,2018,KZ,-1.026299487453818,-0.6263923297133444
50K,48.9,3110,10.5632,7.4389,44,2018,EC,-0.28098106385272276,0.3173014159079749
50K,48.9,3100,10.1739,6.8767,37,2019,EC,-0.28098106385272276,0.31193951962603556
50K,42.6,1820,9.3341,7.8783,17,2018,EC,-0.4364613972529512,-0.3743832044621966
20K,17.8,350,2.7405,1.7483,24,2018,EC,-1.048510963653851,-1.1625819579072756
50K,57.3,3710,9.5355,5.8583,82,2018,IT,-0.07367395265241808,0.6390151928243337
50K,38.5,2400,6.5128,4.1911,73,2018,IT,-0.5376470110531,-0.06339322010971637
20K,21.9,1370,3.6345,2.0333,39,2018,IR,-0.9473253498537022,-0.6156685371494657
50K,66.6,2670,10.7412,6.7433,172,2018,FI,0.1558446347479192,0.08137797950264508
50K,65.8,1920,11.0443,6.5036,153,2019,FI,0.13610110034789025,-0.3207642416428034
50K,65.7,1770,10.718,6.3167,145,2020,FI,0.13363315854788677,-0.40119268587189316
50K,65.9,2970,11.0575,7.0306,155,2021,FI,0.1385690421478941,0.2422348679608245
50K,65.9,2970,10.9606,6.62,183,2022,FI,0.1385690421478941,0.2422348679608245
50K,65.9,2970,11.8284,6.8767,218,2023,FI,0.1385690421478941,0.2422348679608245
20K,26.5,1000,5.9644,3.5219,182,2018,TW,-0.8338000270535353,-0.8140586995812203
20K,26.9,1000,5.8187,2.8042,242,2019,TW,-0.8239282598535208,-0.8140586995812203
20K,34.1,1530,7.0135,3.9406,82,2018,TW,-0.6462364502532596,-0.5298781966384367
20K,34.4,1330,6.7756,4.2692,120,2019,TW,-0.6388326248532488,-0.6371161222772229
100K,85.0,4500,14.2596,9.5233,199,2014,FR,0.6099459259485868,1.0626049990975395
100K,90.1,4800,15.2626,10.0475,290,2015,FR,0.7358109577487717,1.2234618875557188
100K,88.7,4940,14.7802,9.1019,284,2016,FR,0.7012597725487211,1.2985284355028692
100K,88.0,4900,15.3915,10.09,191,2017,FR,0.6839841799486956,1.277080850375112
100K,90.2,5240,16.6952,11.0678,323,2018,FR,0.7382788995487755,1.4593853239610488
100K,90.6,5200,16.9644,10.7286,364,2019,FR,0.7481506667487898,1.4379377388332915
100K,133.0,2250,18.239,12.8997,37,2014,TR,1.794557989950328,-0.14382166433880608
100K,131.2,2840,20.7076,13.3972,58,2015,TR,1.7501350375502625,0.1725302162956134
100M,136.7,3330,21.9227,17.17,33,2016,TR,1.8858718365504619,0.43526313411063977
100M,138.8,3460,21.1975,16.1486,37,2017,TR,1.9376986143505386,0.5049677857758509
100K,137.3,3200,22.0406,16.3119,49,2018,TR,1.9006794873504842,0.3655584824454287
100M,162.5,4470,26.5319,21.1783,74,2019,TR,2.522600820951398,1.0465193102517216
100M,165.2,4180,25.177,20.4381,21,2021,TR,2.589235249551496,0.8910243180754814
100M,166.3,4910,27.3964,19.9253,17,2022,TR,2.616382609351536,1.2824427466570514
100M,166.3,4910,27.7931,20.3481,16,2023,TR,2.616382609351536,1.2824427466570514
100K,84.8,2660,17.7241,10.8942,35,2018,FR,0.6050100423485795,0.07601608322070577
100K,84.4,2690,17.8417,9.8856,59,2019,FR,0.5951382751485652,0.09210177206652372
100K,83.7,2590,18.1221,9.7722,62,2020,FR,0.5778626825485397,0.03848280924713058
50K,43.1,2280,7.6872,3.8753,58,2018,MA,-0.42412168825293306,-0.12773597549298815
50K,43.0,2320,7.8187,3.7672,70,2019,MA,-0.42658963005293676,-0.1062883903652309
100K,98.1,6910,20.0713,13.0175,67,2018,ES,0.9332463017490619,2.3548220030449145
100K,91.4,5620,17.999,11.8736,48,2019,ES,0.7678942011488191,1.6631373826747426
100M,127.2,8930,26.3418,20.9878,11,2018,ES,1.6514173655501176,3.4379250519966558
100M,131.2,8250,22.1739,15.96,8,2019,ES,1.7501350375502625,3.0733161048247823
50K,80.0,1920,10.8343,6.8714,61,2014,TR,0.4865488359484054,-0.3207642416428034
100K,81.2,2130,12.0355,6.7569,62,2015,TR,0.516164137548449,-0.20816441972207786
100K,85.3,2590,13.8374,9.5986,65,2016,TR,0.6173497513485976,0.03848280924713058
100K,87.1,2860,12.7834,9.1147,44,2017,TR,0.6617727037486628,0.18325400885949206
100K,85.2,2540,12.8327,9.1378,57,2018,TR,0.6148818095485941,0.01167332783743401
100K,88.5,2740,13.7491,9.3992,68,2019,TR,0.6963238889487138,0.11891125347622028
100K,87.6,2380,10.7774,7.5189,33,2021,TR,0.674112412748681,-0.07411701267359501
20K,21.6,330,2.1182,1.5692,131,2018,KZ,-0.9547291752537129,-1.1733057504711544
50K,73.7,810,9.5387,6.9222,15,2018,BY,0.33106850254817694,-0.9159347289380673
50K,80.5,1180,9.4279,6.8058,25,2019,BY,0.49888854494842355,-0.7175445665063126
50K,67.4,880,7.4162,6.0708,23,2020,BY,0.1755881691479485,-0.8784014549644921
20K,44.9,500,5.6277,4.1031,22,2018,BY,-0.37969873585286784,-1.082153513678186
20K,40.7,810,4.7367,3.0517,32,2019,BY,-0.4833522914530201,-0.9159347289380673
20K,42.1,550,4.5736,3.4858,26,2020,BY,-0.4488011062529694,-1.0553440322684895
50K,41.2,2840,7.608,4.9089,322,2018,FR,-0.471012582453002,0.1725302162956134
20K,29.3,380,3.2341,2.0428,265,2018,LV,-0.7646976566534337,-1.1464962690614577
100M,161.9,2682,26.0094,16.9228,111,2014,US,2.5077931701513765,0.08781225504097226
100M,163.8,3720,26.1906,15.7236,164,2015,US,2.5546840643514455,0.644377089106273
100M,160.9,2650,25.9476,17.2439,133,2016,US,2.4831137521513402,0.07065418693876646
100M,161.1,2570,26.1041,18.4497,102,2017,US,2.4880496357513473,0.027759016683251952
100M,160.9,2660,25.4803,16.585,182,2018,US,2.4831137521513402,0.07601608322070577
100M,161.0,2650,26.5322,16.2919,166,2019,US,2.4855816939513438,0.07065418693876646
20K,22.5,200,2.5991,1.5333,507,2018,LV,-0.9325176990536803,-1.2430104021363655
20K,23.6,520,2.4271,1.5044,593,2019,LV,-0.9053703392536404,-1.0714297211143073
50K,95.0,1051,12.1731,6.8239,102,2015,GB,0.8567401059489496,-0.7867130285433298
20K,34.0,1410,5.8199,2.9028,99,2018,CN,-0.6487043920532632,-0.5942209520217084
20K,34.0,1290,6.5014,3.9828,91,2019,CN,-0.6487043920532632,-0.6585637074049802
20K,33.8,1130,6.4953,3.1247,168,2021,CN,-0.6536402756532705,-0.7443540479160092
50K,57.0,2460,11.0398,6.4197,82,2018,CN,-0.0810777780524289,-0.0312218424180805
50K,54.5,2440,10.8899,6.9825,82,2019,CN,-0.14277632305251958,-0.04194563498195913
100K,74.8,2880,15.3879,8.7528,89,2021,CN,0.35821586234821673,0.19397780142337068
20K,16.2,870,2.7732,1.4906,82,2018,MA,-1.087998032453909,-0.8837633512464314
50K,47.0,1700,8.1782,4.4719,181,2018,FR,-0.3278719580527916,-0.43872595984546836
50K,49.8,2630,9.4166,5.2406,395,2019,FR,-0.25876958765269015,0.059930394374887834
50K,47.4,1130,8.7066,4.4253,270,2020,FR,-0.31800019085277714,-0.7443540479160092
50K,42.0,2800,7.3262,4.5817,249,2018,FR,-0.451269048052973,0.15108263116785617
50K,42.8,2530,6.9767,4.1461,470,2019,FR,-0.43152551365294406,0.006311431555494696
50K,43.3,2780,7.3521,4.7372,466,2020,FR,-0.41918580465292593,0.14035883860397755
50K,42.6,2750,7.7134,4.4153,591,2022,FR,-0.4364613972529512,0.1242731497581596
50K,41.9,2525,6.939,4.1625,608,2023,FR,-0.45373698985297667,0.0036304834145250396
50K,41.9,2525,7.0125,4.1603,653,2024,FR,-0.45373698985297667,0.0036304834145250396
100M,155.4,2350,28.2785,19.4836,16,2018,AU,2.347376953151141,-0.09020270151941295
100M,157.8,2630,29.9279,23.1914,17,2019,AU,2.406607556351228,0.059930394374887834
100K,101.6,2570,15.6893,9.2964,72,2018,US,1.0196242647491889,0.027759016683251952
100K,101.1,2580,15.9018,10.4861,60,2019,US,1.0072845557491708,0.03312091296519126
100K,98.9,2560,15.2524,10.2681,44,2020,US,0.9529898361490912,0.02239712040131264
100K,102.8,2590,15.8729,10.4531,78,2021,US,1.0492395663492324,0.03848280924713058
100K,102.8,2590,16.1615,9.8733,80,2022,US,1.0492395663492324,0.03848280924713058
100M,170.0,4360,29.0249,17.7556,60,2018,US,2.70769645595167,0.9875384511503891
100M,169.0,4330,28.166,19.0672,76,2019,US,2.683017037951634,0.9714527623045711
100M,167.5,4310,27.3339,18.2303,98,2020,US,2.6459979109515794,0.9607289697406926
100M,171.4,4330,27.3909,19.1719,88,2021,US,2.742247641151721,0.9714527623045711
100M,171.4,4330,28.8709,19.8928,102,2022,US,2.742247641151721,0.9714527623045711
50K,40.0,2120,7.2695,4.6761,44,2018,BA,-0.5006278840530456,-0.21352631600401717
50K,38.8,2190,7.2014,4.7708,44,2019,BA,-0.5302431856530891,-0.17599304203044197
50K,40.6,1820,6.8545,4.4606,19,2020,BA,-0.48582023325302376,-0.3743832044621966
100K,103.8,4000,18.6407,13.7161,20,2018,BA,1.0739189843492687,0.7945101850005738
100K,103.8,3860,20.691,12.8689,19,2019,BA,1.0739189843492687,0.7194436370534234
50K,73.3,2390,13.3364,10.5922,14,2018,BO,0.3211967353481623,-0.0687551163916557
50K,73.4,2460,12.7871,10.2833,3,2020,BO,0.32366467714816616,-0.0312218424180805
20K,32.7,1100,4.9388,2.7367,51,2018,BO,-0.6807876354533103,-0.7604397367618272
20K,32.7,1110,4.9913,3.2047,23,2020,BO,-0.6807876354533103,-0.7550778404798878
50K,42.0,1200,6.0716,3.1361,45,2017,US,-0.451269048052973,-0.706820773942434
50K,42.5,1110,6.2535,3.8886,43,2019,US,-0.4389293390529549,-0.7550778404798878
50K,42.4,1200,6.2055,3.7928,53,2021,US,-0.44139728085295854,-0.706820773942434
50K,42.4,1200,7.0496,4.4497,37,2022,US,-0.44139728085295854,-0.706820773942434
50K,42.4,1200,5.8555,3.0067,31,2023,US,-0.44139728085295854,-0.706820773942434
100K,101.8,3170,14.3876,10.2747,37,2017,US,1.0245601483491962,0.34947279359961075
100K,100.3,3140,14.6732,9.9408,31,2018,US,0.9875410213491417,0.33338710475379285
100K,100.3,3140,14.5675,10.295,31,2019,US,0.9875410213491417,0.33338710475379285
100K,100.3,3140,14.6264,12.5358,22,2021,US,0.9875410213491417,0.33338710475379285
100M,102.9,7540,26.014,20.0333,11,2018,EC,1.0517075081492362,2.6926214688070913
50K,61.2,2940,9.469,6.2658,21,2018,FR,0.022575777547723528,0.22614917911500657
20K,31.3,1450,7.4414,2.8367,474,2018,TH,-0.7153388206533612,-0.5727733668939512
20K,31.3,1450,7.4387,3.6411,454,2019,TH,-0.7153388206533612,-0.5727733668939512
20K,31.9,1350,7.8727,3.35,414,2020,TH,-0.7005311698533394,-0.6263923297133444
20K,31.9,1350,7.6926,3.0758,161,2021,TH,-0.7005311698533394,-0.6263923297133444
20K,31.2,1500,6.6428,2.5653,124,2022,TH,-0.7178067624533648,-0.5459638854842546
20K,31.2,1500,7.1362,3.1236,102,2023,TH,-0.7178067624533648,-0.5459638854842546
100K,89.3,5110,14.074,11.065,24,2018,JP,0.7160674233487427,1.3896806722958377
100K,90.1,5240,14.741,10.9572,48,2019,JP,0.7358109577487717,1.4593853239610488
100K,105.0,4070,20.1474,11.2,149,2014,SK,1.1035342859493122,0.832043458974149
100K,106.3,3790,18.5454,11.7,145,2015,SK,1.1356175293493593,0.6819103630798482
